size,try_no,vector*vector,vector*matrix
1901,2,0.000010,0.019308
1901,3,0.000012,0.019153
1901,4,0.000010,0.017859
1901,5,0.000010,0.019311
1901,6,0.000011,0.020236
1901,7,0.000011,0.018479
1901,8,0.000016,0.019959
1901,9,0.000011,0.018502
2001,0,0.000010,0.035519
2001,1,0.000010,0.023352
2001,2,0.000011,0.025451
2001,3,0.000011,0.031926
2001,4,0.000011,0.029500
2001,5,0.000012,0.028024
2001,6,0.000011,0.024355
2001,7,0.000012,0.026598
2001,8,0.000011,0.022364
2001,9,0.000011,0.021687
2101,0,0.000011,0.035203
2101,1,0.000011,0.034234
2101,2,0.000011,0.038946
2101,3,0.000011,0.038015
2101,4,0.000012,0.037922
2101,5,0.000012,0.038013
2101,6,0.000011,0.037436
2101,7,0.000011,0.035762
2101,8,0.000025,0.037486
2101,9,0.000011,0.042830
2201,0,0.000013,0.037961
2201,1,0.000011,0.038447
2201,2,0.000026,0.039089
2201,3,0.000011,0.040602
2201,4,0.000012,0.037606
2201,5,0.000011,0.037573
2201,6,0.000011,0.038757
2201,7,0.000025,0.039751
2201,8,0.000013,0.039683
2201,9,0.000012,0.039758
2301,0,0.000012,0.043011
2301,1,0.000012,0.044126
2301,2,0.000012,0.044978
2301,3,0.000012,0.045706
2301,4,0.000013,0.047033
2301,5,0.000014,0.059676
2301,6,0.000014,0.065565
2301,7,0.000014,0.051442
2301,8,0.000013,0.048428
2301,9,0.000013,0.051784
2401,0,0.000002,0.055772
2401,1,0.000013,0.060147
2401,2,0.000013,0.045455
2401,3,0.000013,0.059548
2401,4,0.000013,0.061723
2401,5,0.000013,0.057056
2401,6,0.000013,0.052668
2401,7,0.000015,0.052358
2401,8,0.000012,0.048240
2401,9,0.000012,0.051704
2501,0,0.000012,0.051312
2501,1,0.000016,0.058997
2501,2,0.000013,0.052015
2501,3,0.000013,0.061369
2501,4,0.000013,0.074222
2501,5,0.000013,0.063458
2501,6,0.000012,0.065134
2501,7,0.000014,0.081190
2501,8,0.000014,0.052490
2501,9,0.000033,0.049624
2601,0,0.000013,0.059449
2601,1,0.000015,0.073359
2601,2,0.000014,0.063398
2601,3,0.000013,0.064672
2601,4,0.000013,0.067588
2601,5,0.000014,0.069731
2601,6,0.000029,0.063430
2601,7,0.000013,0.066305
2601,8,0.000014,0.061753
2601,9,0.000013,0.049677
2701,0,0.000013,0.076244
2701,1,0.000013,0.072297
2701,2,0.000014,0.072644
2701,3,0.000017,0.067128
2701,4,0.000013,0.069796
2701,5,0.000017,0.080611
2701,6,0.000050,0.072172
2701,7,0.000014,0.062034
2701,8,0.000013,0.062501
2701,9,0.000014,0.065027
2801,0,0.000057,0.063504
2801,1,0.000014,0.057665
2801,2,0.000013,0.067619
2801,3,0.000033,0.065919
2801,4,0.000014,0.063733
2801,5,0.000014,0.063446
2801,6,0.000014,0.074548
2801,7,0.000017,0.087995
2801,8,0.000016,0.080290
2801,9,0.000015,0.074054
2901,0,0.000016,0.071009
2901,1,0.000015,0.068792
2901,2,0.000015,0.082216
2901,3,0.000015,0.079770
2901,4,0.000016,0.078615
2901,5,0.000016,0.072746
2901,6,0.000015,0.074249
2901,7,0.000019,0.066206
2901,8,0.000015,0.073265
2901,9,0.000015,0.066859
3001,0,0.000021,0.080545
3001,1,0.000020,0.085567
3001,2,0.000017,0.088690
3001,3,0.000017,0.080461
3001,4,0.000015,0.080850
3001,5,0.000016,0.074640
3001,6,0.000015,0.069359
3001,7,0.000014,0.071348
3001,8,0.000029,0.073268
3001,9,0.000052,0.068272
3101,0,0.000014,0.071650
3101,1,0.000049,0.070887
3101,2,0.000016,0.069587
3101,3,0.000014,0.069274
3101,4,0.000014,0.074531
3101,5,0.000015,0.069907
3101,6,0.000015,0.079636
3101,7,0.000014,0.070334
3101,8,0.000015,0.071580
3101,9,0.000015,0.072251
3201,0,0.000015,0.074144
3201,1,0.000018,0.081394
3201,2,0.000049,0.074619
3201,3,0.000015,0.073374
3201,4,0.000015,0.074961
3201,5,0.000016,0.074361
3201,6,0.000016,0.072623
3201,7,0.000015,0.076085
3201,8,0.000016,0.075602
3201,9,0.000015,0.073375
3301,0,0.000017,0.079390
3301,1,0.000030,0.079891
3301,2,0.000015,0.082644
3301,3,0.000015,0.081964
3301,4,0.000015,0.082138
3301,5,0.000016,0.097211
3301,6,0.000016,0.099118
3301,7,0.000257,0.100532
3301,8,0.000015,0.085741
3301,9,0.000016,0.079276
3401,0,0.000016,0.086679
