size,try_no,vector*vector,vector*matrix
9301,1,0.000061,0.828153
9301,2,0.000042,0.678080
9301,3,0.000041,0.687471
9301,4,0.000041,0.625520
9301,5,0.000041,0.646685
9301,6,0.000041,0.685558
9301,7,0.000043,0.628704
9301,8,0.000040,0.608579
9301,9,0.000041,0.611859
9401,0,0.000041,0.649092
9401,1,0.000041,0.641554
9401,2,0.000041,0.647462
9401,3,0.000105,0.637662
9401,4,0.000041,0.655380
9401,5,0.000038,0.651763
9401,6,0.000039,0.631829
9401,7,0.000041,0.635806
9401,8,0.000041,0.650280
9401,9,0.000039,0.649139
9501,0,0.000051,0.650309
9501,1,0.000058,0.653773
9501,2,0.000041,0.662837
9501,3,0.000085,0.644938
9501,4,0.000042,0.648309
9501,5,0.000041,0.647995
9501,6,0.000043,0.662779
9501,7,0.000094,0.656461
9501,8,0.000042,0.769842
9501,9,0.000043,0.746560
9601,0,0.000100,0.712303
9601,1,0.000074,0.751926
9601,2,0.000042,0.744709
9601,3,0.000056,0.696609
9601,4,0.000041,0.666556
9601,5,0.000041,0.742292
9601,6,0.000042,0.753888
9601,7,0.000045,0.752188
9601,8,0.000056,0.720161
9601,9,0.000080,0.723989
9701,0,0.000044,0.808880
9701,1,0.000044,0.726496
9701,2,0.000044,0.803409
9701,3,0.000043,0.744932
9701,4,0.000043,0.755269
9701,5,0.000456,0.750798
9701,6,0.000042,0.673465
9701,7,0.000042,0.660635
9701,8,0.000043,0.681390
9701,9,0.000040,0.677884
9801,0,0.000043,0.711573
9801,1,0.000043,0.671286
9801,2,0.000041,0.704891
9801,3,0.000042,0.698109
9801,4,0.000063,0.696573
9801,5,0.000044,0.754434
9801,6,0.000089,0.686916
9801,7,0.000043,0.719160
9801,8,0.000042,0.721890
9801,9,0.000044,0.803089
9901,0,0.000044,0.751227
9901,1,0.000044,0.750186
9901,2,0.000045,0.740153
9901,3,0.000132,0.781855
9901,4,0.000059,0.756607
9901,5,0.000057,0.716131
9901,6,0.000043,0.758915
9901,7,0.000044,0.780525
9901,8,0.000043,0.711964
9901,9,0.000043,0.710858
